Purity	Accuracy	a	b
0.0	0.9939142354017076	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
4.008016E-4	0.9957289256705395	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
8.016032E-4	0.9953766941248294	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.0012024047	0.9960802596656045	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.0016032064	0.9950190948302204	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.002004008	0.9912658357121023	[0.985, 0.994]	--------------------------------------------------------------------------------------------------||
0.0024048097	0.9946349552675937	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.0028056114	0.9930142195426883	[0.987, 0.995]	--------------------------------------------------------------------------------------------------||
0.003206413	0.9943335193448865	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.0036072147	0.9948348580102035	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.004008016	0.9962303541505897	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.0044088177	0.9913645213926227	[0.985, 0.994]	--------------------------------------------------------------------------------------------------||
0.0048096194	0.9966018245904018	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.005210421	0.9972950178607627	[0.993, 0.998]	---------------------------------------------------------------------------------------------------|
0.0056112227	0.9956852007624848	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.0060120244	0.9954962435282033	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.006412826	0.9948474143120309	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.0068136277	0.994959395107607	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.0072144293	0.9934019432043155	[0.988, 0.996]	--------------------------------------------------------------------------------------------------||
0.007615231	0.996183784032912	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.008016032	0.9967251982631695	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.008416833	0.9957859229235362	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.008817635	0.9945960622571326	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.009218436	0.9927728512051384	[0.987, 0.995]	--------------------------------------------------------------------------------------------------||
0.009619237	0.9939487085562695	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.010020038	0.9952911729931739	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.010420839	0.9958463781550664	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.0108216405	0.9965604687774932	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.011222442	0.9976186580423638	[0.993, 0.998]	---------------------------------------------------------------------------------------------------|
0.011623243	0.9944005300313601	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.012024044	0.9965252171746184	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.012424845	0.9967680521015478	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.012825646	0.9952826871025873	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.013226448	0.9958071594074331	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.013627249	0.992694710256051	[0.987, 0.995]	--------------------------------------------------------------------------------------------------||
0.01402805	0.9976253932362869	[0.994, 0.998]	---------------------------------------------------------------------------------------------------|
0.014428851	0.9965764176151561	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.014829652	0.9955798534496711	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.015230454	0.9927222073897001	[0.987, 0.995]	--------------------------------------------------------------------------------------------------||
0.015631255	0.9940296975508807	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.016032057	0.9961255996442565	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.016432859	0.9951025106421769	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.016833661	0.9967884186151682	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.017234463	0.9914799269851746	[0.986, 0.994]	--------------------------------------------------------------------------------------------------||
0.017635265	0.9938069821930311	[0.988, 0.996]	--------------------------------------------------------------------------------------------------||
0.018036067	0.9931690678614886	[0.988, 0.995]	--------------------------------------------------------------------------------------------------||
0.01843687	0.9963795849608392	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.018837672	0.9940066362091877	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.019238474	0.9946080012713556	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.019639276	0.9970731460382221	[0.993, 0.998]	---------------------------------------------------------------------------------------------------|
0.020040078	0.9936367648614968	[0.988, 0.996]	--------------------------------------------------------------------------------------------------||
0.02044088	0.9945397945318963	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.020841682	0.995860918667453	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.021242484	0.9954686515637905	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.021643287	0.9965312294365463	[0.992, 0.998]	---------------------------------------------------------------------------------------------------|
0.022044089	0.9936122158849985	[0.988, 0.996]	--------------------------------------------------------------------------------------------------||
0.02244489	0.9960226901075466	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.022845693	0.9943912112961086	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.023246495	0.9936234460185873	[0.988, 0.996]	--------------------------------------------------------------------------------------------------||
0.023647297	0.9950293081620405	[0.99, 0.997]	---------------------------------------------------------------------------------------------------|
0.0240481	0.9920330784041704	[0.986, 0.995]	--------------------------------------------------------------------------------------------------||
0.024448901	0.9941117974747022	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.024849704	0.992914533590636	[0.987, 0.995]	--------------------------------------------------------------------------------------------------||
0.025250506	0.9938215356901905	[0.988, 0.996]	--------------------------------------------------------------------------------------------------||
0.025651308	0.9957041153645816	[0.991, 0.997]	---------------------------------------------------------------------------------------------------|
0.02605211	0.9945174554698237	[0.989, 0.996]	--------------------------------------------------------------------------------------------------||
0.026452912	0.9900925254347861	[0.984, 0.993]	--------------------------------------------------------------------------------------------------||
