Purity	Accuracy	a	b
0.0	0.900758608075211	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.001002004	0.9027993763382343	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.002004008	0.9048748955615643	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.0030060122	0.9010743748706732	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.004008016	0.8986399985997703	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.00501002	0.9007324281734636	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.006012024	0.8959945503108953	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.007014028	0.8961112148363684	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.008016032	0.8909368059403585	[0.86, 0.912]	--------------------------------------------------------------------|--*|-------
0.009018037	0.903970779552732	[0.874, 0.924]	---------------------------------------------------------------------|--*|------
0.010020041	0.8983626916503783	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.011022045	0.8957657276121257	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.01202405	0.909418751345035	[0.88, 0.928]	----------------------------------------------------------------------|-*-|-----
0.013026054	0.9004865809772302	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.014028058	0.8985738493322653	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.015030063	0.893888835086986	[0.863, 0.915]	---------------------------------------------------------------------|-*-|------
0.016032066	0.8972122789598634	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.01703407	0.9052552400104581	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
0.018036075	0.8991367972958841	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.01903808	0.9037616817112369	[0.874, 0.924]	---------------------------------------------------------------------|--*|------
0.020040084	0.8916966082674721	[0.861, 0.913]	--------------------------------------------------------------------|--*-|------
0.021042088	0.8885036666761605	[0.857, 0.91]	--------------------------------------------------------------------|--*|-------
0.022044092	0.8976966761976148	[0.868, 0.918]	---------------------------------------------------------------------|-*-|------
0.023046097	0.8949738529871044	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
