Purity	Accuracy	a	b
0.0	0.8362578594885711	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.001002004	0.8353150915292401	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.002004008	0.8347138675825402	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.0030060122	0.8353620905871585	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.004008016	0.8347274245276796	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.00501002	0.8340636953022922	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.006012024	0.8348224431647674	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.007014028	0.8348123403642292	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.008016032	0.8350598417101986	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.009018037	0.834425660210183	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.010020041	0.8353048767746507	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.011022045	0.8345521877195454	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.01202405	0.8345710685690928	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.013026054	0.8348138095858286	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.014028058	0.8361602810666686	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.015030063	0.834149975752251	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.016032066	0.8345195137302143	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.01703407	0.8356780708570655	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.018036075	0.8360598447786141	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.01903808	0.8364522040863518	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.020040084	0.8358822171511378	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.021042088	0.8364776182452958	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.022044092	0.8356062461935841	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.023046097	0.833751181615641	[0.83, 0.837]	-----------------------------------------------------------------------------------|----------------
0.024048101	0.8354865238665354	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.025050106	0.8349864472431638	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.02605211	0.8351137414516304	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.027054114	0.8344104304752558	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.028056119	0.8347044722026364	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.029058123	0.8345389078124812	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.030060127	0.8350749772335921	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.031062132	0.8360097390174777	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.032064136	0.8355318579201002	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.03306614	0.8359138626838861	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.03406814	0.8352638256505549	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.035070144	0.8351077202134028	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.036072146	0.8339811435329367	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.03707415	0.8371786495739931	[0.833, 0.841]	-----------------------------------------------------------------------------------||---------------
0.03807615	0.8368822006727122	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.039078154	0.8350950356286427	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.040080156	0.8358321188364244	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.04108216	0.8370829291942363	[0.833, 0.841]	-----------------------------------------------------------------------------------||---------------
0.04208416	0.8353337455375188	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.043086164	0.8348506132704966	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.044088166	0.8360208442798479	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.04509017	0.8358035646633574	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.04609217	0.8353155602562097	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.047094174	0.8364495327877827	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.048096176	0.8356153106661504	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.04909818	0.834302714512406	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.05010018	0.8354369317232879	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.051102184	0.8352422992734589	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
