Purity	Accuracy	a	b
0.0	0.834251499325084	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
4.008016E-4	0.8354397829541952	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
8.016032E-4	0.8350684153744714	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.0012024047	0.8344553532121258	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.0016032064	0.8349901083672003	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.002004008	0.8358489781637065	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.0024048097	0.8351259790327501	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.0028056114	0.8363163865232874	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.003206413	0.836318145102553	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.0036072147	0.8351609634535685	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.004008016	0.8361239382859927	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.0044088177	0.8368301863779137	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.0048096194	0.835561241952506	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.005210421	0.8353172112205622	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.0056112227	0.8345668612316123	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.0060120244	0.8354444002028222	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.006412826	0.8357976050018743	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.0068136277	0.8349676060783071	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.0072144293	0.8333912372915749	[0.83, 0.837]	-----------------------------------------------------------------------------------|----------------
0.007615231	0.834670209604453	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.008016032	0.8346528439566172	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.008416833	0.8353443741916455	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.008817635	0.8357299362173285	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.009218436	0.8353373799147228	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.009619237	0.8352149834851635	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.010020038	0.8356697635565499	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.010420839	0.8346124570609497	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.0108216405	0.8364180743958963	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.011222442	0.8347696318611215	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.011623243	0.8354855056650178	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.012024044	0.8353993834552206	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.012424845	0.8342207628418614	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.012825646	0.8346190085294544	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.013226448	0.8341378939459065	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.013627249	0.8358026854046422	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.01402805	0.8349124656097856	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.014428851	0.8360901953742836	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.014829652	0.8362724193047454	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.015230454	0.8341361801087175	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.015631255	0.8362368138948488	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.016032057	0.8354666602334435	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.016432859	0.8359917131277322	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.016833661	0.8344062239106417	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.017234463	0.8352866496017577	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.017635265	0.8349220029487278	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.018036067	0.8357200151621327	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.01843687	0.8353885967167699	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.018837672	0.8346134471792643	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.019238474	0.835997928566214	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.019639276	0.8348469195852375	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.020040078	0.8361730538182094	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.02044088	0.8356553570592828	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.020841682	0.8349249111076356	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.021242484	0.8341300169044737	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.021643287	0.8362069054823481	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.022044089	0.8343446288284035	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.02244489	0.8355285329815	[0.832, 0.839]	-----------------------------------------------------------------------------------|----------------
0.022845693	0.836597224597999	[0.833, 0.84]	-----------------------------------------------------------------------------------||---------------
0.023246495	0.8343175269375883	[0.831, 0.838]	-----------------------------------------------------------------------------------|----------------
0.023647297	0.835143724912378	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.0240481	0.8360204576661631	[0.832, 0.84]	-----------------------------------------------------------------------------------||---------------
0.024448901	0.8352310448684425	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.024849704	0.8351560508354118	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.025250506	0.8342335484198107	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.025651308	0.8341083306653952	[0.83, 0.838]	-----------------------------------------------------------------------------------|----------------
0.02605211	0.8351214011933589	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
0.026452912	0.8350918573837812	[0.831, 0.839]	-----------------------------------------------------------------------------------|----------------
