Purity	Accuracy	a	b
0.0	0.9047054315528206	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
1.002004E-4	0.9065887905322115	[0.877, 0.926]	----------------------------------------------------------------------|-*-|-----
2.004008E-4	0.8998467436873522	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
3.0060118E-4	0.9032151340342089	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
4.008016E-4	0.9054003652452158	[0.876, 0.925]	----------------------------------------------------------------------|-*-|-----
5.01002E-4	0.8970998835145434	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
6.012024E-4	0.8966312560105469	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
7.0140284E-4	0.8946709195816109	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
8.0160325E-4	0.9082430367512121	[0.879, 0.927]	----------------------------------------------------------------------|-*-|-----
9.0180367E-4	0.895813251093222	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.001002004	0.8893721694021657	[0.858, 0.911]	--------------------------------------------------------------------|--*|-------
0.0011022044	0.8939352810348657	[0.863, 0.915]	---------------------------------------------------------------------|-*-|------
0.0012024048	0.8932205890978318	[0.863, 0.914]	---------------------------------------------------------------------|-*-|------
0.0013026053	0.8982452870912065	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.0014028057	0.9071118355554734	[0.878, 0.926]	----------------------------------------------------------------------|-*-|-----
0.0015030061	0.9016558063228681	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.0016032065	0.9032077165041631	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.0017034069	0.8965164232520619	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.0018036073	0.9019951068269249	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.0019038077	0.8999359215365316	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.002004008	0.8954041042396346	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.0021042083	0.9016133771820126	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.0022044086	0.8956369714226657	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.002304609	0.8992277805295931	[0.869, 0.92]	---------------------------------------------------------------------|-*-|------
0.0024048092	0.8934459881820916	[0.863, 0.914]	---------------------------------------------------------------------|-*-|------
0.0025050095	0.8995863321230702	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.0026052098	0.901756667408251	[0.872, 0.922]	---------------------------------------------------------------------|--*|------
0.0027054101	0.8987572936531164	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.0028056104	0.9008982980089921	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.0029058107	0.9008561038767627	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.003006011	0.9000464254187285	[0.87, 0.92]	---------------------------------------------------------------------|--*|------
0.0031062113	0.8964865996211132	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.0032064116	0.8989224851808024	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.003306612	0.8903893689943602	[0.859, 0.912]	--------------------------------------------------------------------|--*|-------
0.0034068122	0.9078485575863392	[0.879, 0.927]	----------------------------------------------------------------------|-*-|-----
0.0035070125	0.8960006456114884	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.0036072128	0.9000459781951069	[0.87, 0.92]	---------------------------------------------------------------------|--*|------
0.003707413	0.9034244997064973	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.0038076134	0.8995149302881622	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.0039078137	0.9006748414073197	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.004008014	0.9121624006448874	[0.884, 0.931]	----------------------------------------------------------------------|-*-|-----
0.0041082148	0.9049109125008852	[0.875, 0.925]	----------------------------------------------------------------------|-*-|-----
0.0042084153	0.8894801580475267	[0.858, 0.911]	--------------------------------------------------------------------|--*|-------
0.004308616	0.9080504148838586	[0.879, 0.927]	----------------------------------------------------------------------|-*-|-----
0.0044088163	0.8923780461732882	[0.862, 0.913]	--------------------------------------------------------------------|--*-|------
0.004509017	0.9031783224352042	[0.874, 0.923]	---------------------------------------------------------------------|--*|------
0.0046092174	0.9010636844352932	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.004709418	0.9012254279218223	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.0048096185	0.9043225712429105	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.004909819	0.895227331856828	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.0050100195	0.8931688687895913	[0.863, 0.914]	---------------------------------------------------------------------|-*-|------
0.00511022	0.8993527556139401	[0.869, 0.92]	---------------------------------------------------------------------|-*-|------
0.0052104206	0.8913831444927358	[0.861, 0.913]	--------------------------------------------------------------------|--*-|------
0.005310621	0.8958548304914518	[0.865, 0.917]	---------------------------------------------------------------------|-*-|------
0.0054108216	0.8953111957441542	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.005511022	0.8940560555237548	[0.864, 0.915]	---------------------------------------------------------------------|-*-|------
0.0056112227	0.8992910757450562	[0.869, 0.92]	---------------------------------------------------------------------|-*-|------
0.0057114232	0.9025158442410489	[0.873, 0.922]	---------------------------------------------------------------------|--*|------
0.0058116238	0.895698182830896	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.0059118243	0.8963858722002646	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.006012025	0.8951019626525564	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.0061122254	0.8992147858858643	[0.869, 0.92]	---------------------------------------------------------------------|-*-|------
0.006212426	0.89878988705603	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.0063126264	0.8953232234179047	[0.865, 0.916]	---------------------------------------------------------------------|-*-|------
0.006412827	0.8937236164819025	[0.863, 0.915]	---------------------------------------------------------------------|-*-|------
0.0065130275	0.8990835733559981	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.006613228	0.9026859581080042	[0.873, 0.923]	---------------------------------------------------------------------|--*|------
0.0067134285	0.896098189293725	[0.866, 0.917]	---------------------------------------------------------------------|-*-|------
0.006813629	0.8996910468389508	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.0069138296	0.896951099927688	[0.867, 0.918]	---------------------------------------------------------------------|-*-|------
0.00701403	0.8995945966638169	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.0071142307	0.9040749312759905	[0.875, 0.924]	----------------------------------------------------------------------|-*|------
0.007214431	0.8980783411609761	[0.868, 0.919]	---------------------------------------------------------------------|-*-|------
0.0073146317	0.8991966456004011	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.0074148322	0.8986516614617911	[0.869, 0.919]	---------------------------------------------------------------------|-*-|------
0.007515033	0.892341844514606	[0.862, 0.913]	--------------------------------------------------------------------|--*-|------
0.0076152333	0.8998380587455783	[0.87, 0.92]	---------------------------------------------------------------------|-*-|------
0.007715434	0.9007236388291994	[0.871, 0.921]	---------------------------------------------------------------------|--*|------
0.007815634	0.9074662463957004	[0.878, 0.927]	----------------------------------------------------------------------|-*-|-----
